id,Country,Amount
1,FR,585
2,UK,996
3,FR,300
4,FR,599
5,FR,83
6,DE,246
7,DE,356
8,UK,566
9,DE,176
10,UK,534
11,UK,705
12,UK,765
13,FR,48
14,FR,993
15,DE,515
16,UK,341
17,UK,3
18,DE,863
19,UK,83
20,DE,687
21,FR,591
22,UK,303
23,UK,27
24,FR,454
25,UK,326
26,UK,250
27,UK,951
28,UK,284
29,UK,0
30,FR,957
31,UK,28
32,DE,160
33,DE,357
34,DE,233
35,FR,894
36,FR,962
37,FR,987
38,DE,365
39,DE,659
40,UK,886
41,DE,712
42,DE,413
43,FR,753
44,FR,576
45,FR,374
46,UK,457
47,DE,255
48,FR,854
49,UK,154
50,FR,454
51,UK,337
52,DE,735
53,UK,276
54,UK,146
55,FR,165
56,DE,52
57,FR,692
58,FR,909
59,UK,298
60,UK,239
61,UK,21
62,DE,253
63,FR,470
64,UK,839
65,UK,102
66,DE,781
67,FR,821
68,FR,12
69,UK,629
70,UK,932
71,DE,199
72,DE,562
73,FR,158
74,UK,910
75,UK,548
76,FR,788
77,DE,44
78,UK,60
79,UK,546
80,FR,903
81,UK,740
82,DE,805
83,UK,1
84,UK,161
85,FR,494
86,FR,360
87,DE,125
88,DE,752
89,UK,829
90,UK,608
91,UK,341
92,FR,155
93,DE,10
94,UK,713
95,DE,524
96,DE,314
97,UK,394
98,DE,296
99,UK,311
100,UK,488
101,DE,889
102,UK,618
103,FR,509
104,FR,297
105,UK,879
106,UK,915
107,FR,55
108,FR,390
109,UK,740
110,DE,948
111,UK,895
112,UK,244
113,DE,979
114,UK,165
115,DE,803
116,FR,684
117,DE,855
118,FR,731
119,UK,208
120,DE,598
121,DE,311
122,FR,893
123,FR,117
124,DE,745
125,DE,562
126,UK,23
127,DE,52
128,UK,236
129,FR,976
130,UK,284
131,DE,108
132,UK,555
133,UK,145
134,DE,134
135,UK,648
136,UK,665
137,DE,801
138,DE,566
139,DE,169
140,FR,71
141,FR,17
142,DE,517
143,UK,889
144,UK,288
145,UK,545
146,FR,503
147,DE,119
148,DE,111
149,UK,956
150,FR,707
151,DE,109
152,FR,499
153,UK,158
154,DE,114
155,FR,772
156,UK,239
157,DE,902
158,UK,775
159,UK,695
160,UK,396
161,FR,442
162,UK,130
163,FR,717
164,UK,564
165,UK,292
166,FR,873
167,UK,654
168,DE,57
169,FR,361
170,UK,873
171,UK,4
172,UK,657
173,FR,704
174,UK,683
175,UK,437
176,DE,347
177,UK,412
178,UK,723
179,FR,204
180,DE,208
181,UK,657
182,UK,227
183,DE,179
184,UK,492
185,DE,266
186,UK,650
187,FR,965
188,DE,411
189,DE,870
190,FR,141
191,UK,605
192,UK,184
193,UK,388
194,DE,686
195,DE,84
196,UK,591
197,UK,326
198,UK,805
199,UK,610
200,DE,3
201,UK,230
202,DE,807
203,UK,206
204,FR,921
205,FR,99
206,UK,882
207,DE,403
208,FR,302
209,UK,878
210,DE,609
211,UK,796
212,FR,41
213,UK,482
214,UK,875
215,DE,67
216,DE,193
217,DE,67
218,FR,284
219,UK,322
220,DE,867
221,DE,443
222,UK,175
